TypeNum_Bid=3, Type=Oil, Resources_required=2, Cities_powered=1, In_Deck=1, Owner=
TypeNum_Bid=4, Type=Coal, Resources_required=2, Cities_powered=1, In_Deck=1, Owner=
TypeNum_Bid=5, Type=Hybrid, Resources_required=2, Cities_powered=1, In_Deck=1, Owner=
TypeNum_Bid=6, Type=Garbage, Resources_required=1, Cities_powered=1, In_Deck=0, Owner=Paul
TypeNum_Bid=7, Type=Oil, Resources_required=3, Cities_powered=2, In_Deck=0, Owner=Jack
TypeNum_Bid=8, Type=Coal, Resources_required=3, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=9, Type=Oil, Resources_required=1, Cities_powered=1, In_Deck=1, Owner=
TypeNum_Bid=10, Type=Coal, Resources_required=2, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=13, Type=Eco, Resources_required=0, Cities_powered=1, In_Deck=1, Owner=
TypeNum_Bid=16, Type=Oil, Resources_required=2, Cities_powered=3, In_Deck=1, Owner=
TypeNum_Bid=40, Type=Oil, Resources_required=2, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=20, Type=Coal, Resources_required=3, Cities_powered=5, In_Deck=1, Owner=
TypeNum_Bid=17, Type=Uranium, Resources_required=1, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=26, Type=Oil, Resources_required=2, Cities_powered=5, In_Deck=1, Owner=
TypeNum_Bid=24, Type=Garbage, Resources_required=2, Cities_powered=4, In_Deck=1, Owner=
TypeNum_Bid=42, Type=Coal, Resources_required=2, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=27, Type=Eco, Resources_required=0, Cities_powered=3, In_Deck=1, Owner=
TypeNum_Bid=39, Type=Uranium, Resources_required=1, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=36, Type=Coal, Resources_required=3, Cities_powered=7, In_Deck=1, Owner=
TypeNum_Bid=12, Type=Hybrid, Resources_required=2, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=18, Type=Eco, Resources_required=0, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=22, Type=Eco, Resources_required=0, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=34, Type=Uranium, Resources_required=1, Cities_powered=5, In_Deck=1, Owner=
TypeNum_Bid=38, Type=Garbage, Resources_required=3, Cities_powered=7, In_Deck=1, Owner=
TypeNum_Bid=15, Type=Coal, Resources_required=2, Cities_powered=3, In_Deck=1, Owner=
TypeNum_Bid=28, Type=Uranium, Resources_required=1, Cities_powered=4, In_Deck=1, Owner=
TypeNum_Bid=25, Type=Coal, Resources_required=2, Cities_powered=5, In_Deck=1, Owner=
TypeNum_Bid=19, Type=Garbage, Resources_required=2, Cities_powered=3, In_Deck=1, Owner=
TypeNum_Bid=14, Type=Garbage, Resources_required=2, Cities_powered=2, In_Deck=1, Owner=
TypeNum_Bid=44, Type=Eco, Resources_required=0, Cities_powered=5, In_Deck=1, Owner=
TypeNum_Bid=11, Type=Uranium, Resources_required=1, Cities_powered=1, In_Deck=1, Owner=
TypeNum_Bid=30, Type=Garbage, Resources_required=3, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=50, Type=Eco, Resources_required=0, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=21, Type=Hybrid, Resources_required=2, Cities_powered=4, In_Deck=1, Owner=
TypeNum_Bid=33, Type=Eco, Resources_required=0, Cities_powered=4, In_Deck=1, Owner=
TypeNum_Bid=35, Type=Oil, Resources_required=1, Cities_powered=5, In_Deck=1, Owner=
TypeNum_Bid=46, Type=Hybrid, Resources_required=3, Cities_powered=7, In_Deck=1, Owner=
TypeNum_Bid=29, Type=Hybrid, Resources_required=1, Cities_powered=4, In_Deck=1, Owner=
TypeNum_Bid=32, Type=Oil, Resources_required=3, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=23, Type=Uranium, Resources_required=1, Cities_powered=3, In_Deck=1, Owner=
TypeNum_Bid=37, Type=Eco, Resources_required=0, Cities_powered=4, In_Deck=1, Owner=
TypeNum_Bid=31, Type=Coal, Resources_required=3, Cities_powered=6, In_Deck=1, Owner=
TypeNum_Bid=-1, Type=Step 3, Resources_required=-1, Cities_powered=-1, In_Deck=1, Owner=
